Words: 303515 
Symbols: 1342055 
Unique words: 15955 
Unique symbols: 66 

amount of words, which > 30

a = 7356
in = 5103
i = 8196
to = 7487
sherlock = 207
holmes = 1483
she = 1019
is = 3009
always = 140
the = 16787
woman = 172
have = 2624
heard = 275
him = 1339
her = 1066
under = 136
any = 454
other = 413
name = 185
his = 3562
eyes = 260
and = 8268
whole = 143
of = 7711
it = 4822
was = 4629
not = 1747
that = 5332
he = 4553
felt = 60
love = 38
for = 2101
all = 1043
one = 1185
were = 1087
cold = 51
but = 1819
mind = 147
take = 255
most = 287
world = 57
has = 806
seen = 207
as = 2221
would = 970
placed = 45
himself = 215
position = 76
never = 340
spoke = 72
save = 102
with = 2414
they = 603
things = 79
from = 1409
such = 310
into = 749
own = 316
which = 2111
might = 323
throw = 37
doubt = 159
upon = 1188
or = 542
be = 1590
more = 537
than = 403
strong = 71
nature = 53
yet = 251
there = 1395
late = 82
had = 2783
little = 550
my = 2685
marriage = 48
us = 678
away = 264
each = 134
complete = 48
up = 784
man = 906
who = 785
first = 318
master = 48
attention = 92
while = 156
every = 224
form = 32
remained = 47
our = 730
baker = 80
street = 232
among = 96
old = 261
week = 56
between = 172
energy = 35
keen = 34
still = 230
ever = 195
by = 1047
study = 63
crime = 114
extraordinary = 62
powers = 31
following = 33
out = 882
those = 185
been = 1185
official = 31
police = 141
time = 447
some = 774
account = 90
case = 333
murder = 55
singular = 91
tragedy = 33
at = 2177
finally = 57
so = 1146
family = 61
beyond = 36
these = 299
signs = 36
however = 270
knew = 180
friend = 247
companion = 73
on = 1281
journey = 30
now = 622
returned = 86
when = 915
way = 357
led = 88
me = 1814
through = 258
passed = 132
door = 423
must = 468
dark = 119
see = 658
again = 257
know = 477
how = 398
rooms = 63
lit = 34
even = 167
looked = 170
saw = 284
tall = 44
figure = 54
pass = 41
twice = 36
against = 160
room = 458
head = 196
hands = 199
behind = 132
manner = 82
told = 152
their = 266
story = 95
work = 133
new = 86
problem = 52
bell = 55
shown = 54
part = 88
glad = 64
think = 432
hardly = 131
word = 134
kindly = 36
eye = 51
an = 1091
threw = 60
across = 121
corner = 78
then = 886
stood = 121
before = 482
fire = 90
over = 520
fashion = 68
you = 4260
remarked = 93
watson = 402
put = 177
seven = 63
half = 111
pounds = 37
since = 146
answered = 117
indeed = 126
should = 599
thought = 238
just = 306
fancy = 49
practice = 39
observe = 34
did = 438
tell = 302
go = 270
do = 719
getting = 38
yourself = 94
very = 1014
girl = 61
dear = 190
said = 1439
this = 1607
too = 199
much = 313
certainly = 166
lived = 38
few = 221
ago = 73
true = 78
country = 95
walk = 58
came = 439
home = 92
dreadful = 46
can't = 43
imagine = 77
wife = 134
given = 74
long = 280
nervous = 39
together = 118
itself = 46
inside = 52
your = 1081
left = 282
where = 367
six = 67
almost = 46
caused = 42
someone = 45
round = 228
order = 78
london = 175
if = 862
gentleman = 93
black = 127
mark = 37
silver = 31
right = 208
side = 207
show = 64
could = 883
help = 125
laughing = 30
hear = 106
give = 193
thing = 135
appears = 38
simple = 46
easily = 30
myself = 209
though = 143
am = 509
until = 221
explain = 39
believe = 91
are = 950
good = 291
yours = 43
quite = 240
down = 595
clear = 154
steps = 53
lead = 30
hall = 107
often = 37
well = 617
times = 41
many = 111
don't = 171
observed = 63
point = 127
because = 80
both = 144
enough = 173
two = 465
may = 496
sheet = 34
thick = 30
lying = 41
open = 180
table = 152
last = 360
read = 115
note = 87
without = 199
either = 88
address = 42
will = 797
call = 85
to-night = 50
quarter = 54
eight = 32
o'clock = 75
matter = 279
moment = 110
matters = 41
importance = 67
can = 569
we = 1798
received = 39
hour = 135
visitor = 55
mystery = 54
what = 1035
means = 68
no = 1206
facts = 88
carefully = 38
examined = 71
writing = 38
paper = 164
written = 46
wrote = 49
english = 30
hold = 50
light = 182
large = 116
small = 177
make = 250
asked = 233
rather = 153
company = 42
like = 270
course = 194
let = 218
glance = 44
took = 219
heavy = 67
brown = 32
far = 180
remarkable = 83
being = 146
scene = 45
death = 94
its = 200
boy = 64
sent = 67
great = 181
blue = 46
made = 290
peculiar = 36
only = 525
remains = 31
therefore = 75
wanted = 44
face = 400
here = 413
comes = 38
sharp = 42
sound = 68
followed = 76
yes = 334
continued = 37
glancing = 36
window = 228
hundred = 70
there's = 51
money = 93
nothing = 357
else = 80
